127.0.0.1 - - [08/Apr/2020:09:13:22 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:13:22 +0900] "GET /ex0408/ex01.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:13:22 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:36:15 +0900] "GET /ex0408/ex01.html HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:36:16 +0900] "GET /ex0408/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:42:10 +0900] "GET /ex0408/ex01.html HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:42:10 +0900] "GET /ex0408/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:42:10 +0900] "GET /ex0408/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:42:11 +0900] "GET /ex0408/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:42:59 +0900] "GET /ex0408/ex01.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:42:59 +0900] "GET /ex0408/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:42:59 +0900] "GET /ex0408/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:45:46 +0900] "GET /ex0408/ex01.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:45:47 +0900] "GET /ex0408/ex01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2020:09:46:19 +0900] "GET /ex0408/ex01.html HTTP/1.1" 200 683
